n,t,y
1000,1.1900,0.802834
1000,1.1950,0.800678
1000,1.2000,0.798509
1000,1.2050,0.796329
1000,1.2100,0.794136
1000,1.2150,0.791930
1000,1.2200,0.789712
1000,1.2250,0.787482
1000,1.2300,0.785239
1000,1.2350,0.782984
1000,1.2400,0.780717
1000,1.2450,0.778437
1000,1.2500,0.776145
1000,1.2550,0.773841
1000,1.2600,0.771525
1000,1.2650,0.769196
1000,1.2700,0.766855
1000,1.2750,0.764503
1000,1.2800,0.762138
1000,1.2850,0.759760
1000,1.2900,0.757371
1000,1.2950,0.754970
1000,1.3000,0.752557
1000,1.3050,0.750131
1000,1.3100,0.747694
1000,1.3150,0.745245
1000,1.3200,0.742784
1000,1.3250,0.740311
1000,1.3300,0.737826
1000,1.3350,0.735329
1000,1.3400,0.732821
1000,1.3450,0.730300
1000,1.3500,0.727768
1000,1.3550,0.725224
1000,1.3600,0.722669
1000,1.3650,0.720102
1000,1.3700,0.717523
1000,1.3750,0.714933
1000,1.3800,0.712331
1000,1.3850,0.709717
1000,1.3900,0.707092
1000,1.3950,0.704456
1000,1.4000,0.701808
1000,1.4050,0.699149
1000,1.4100,0.696478
1000,1.4150,0.693796
1000,1.4200,0.691103
1000,1.4250,0.688399
1000,1.4300,0.685683
1000,1.4350,0.682956
1000,1.4400,0.680219
1000,1.4450,0.677470
1000,1.4500,0.674710
1000,1.4550,0.671939
1000,1.4600,0.669157
1000,1.4650,0.666364
1000,1.4700,0.663560
1000,1.4750,0.660745
1000,1.4800,0.657920
1000,1.4850,0.655083
1000,1.4900,0.652236
1000,1.4950,0.649379
1000,1.5000,0.646511
1000,1.5050,0.643632
1000,1.5100,0.640742
1000,1.5150,0.637842
1000,1.5200,0.634932
1000,1.5250,0.632011
1000,1.5300,0.629080
1000,1.5350,0.626139
1000,1.5400,0.623187
1000,1.5450,0.620225
1000,1.5500,0.617253
1000,1.5550,0.614270
1000,1.5600,0.611278
1000,1.5650,0.608276
1000,1.5700,0.605263
1000,1.5750,0.602241
1000,1.5800,0.599209
1000,1.5850,0.596167
1000,1.5900,0.593115
1000,1.5950,0.590053
1000,1.6000,0.586982
1000,1.6050,0.583901
1000,1.6100,0.580810
1000,1.6150,0.577710
1000,1.6200,0.574601
1000,1.6250,0.571482
1000,1.6300,0.568354
1000,1.6350,0.565216
1000,1.6400,0.562069
1000,1.6450,0.558913
1000,1.6500,0.555748
1000,1.6550,0.552574
1000,1.6600,0.549390
1000,1.6650,0.546198
1000,1.6700,0.542996
1000,1.6750,0.539786
1000,1.6800,0.536567
1000,1.6850,0.533340
1000,1.6900,0.530103
1000,1.6950,0.526858
1000,1.7000,0.523604
1000,1.7050,0.520342
1000,1.7100,0.517071
1000,1.7150,0.513792
1000,1.7200,0.510505
1000,1.7250,0.507209
1000,1.7300,0.503905
1000,1.7350,0.500593
1000,1.7400,0.497272
1000,1.7450,0.493944
1000,1.7500,0.490608
1000,1.7550,0.487263
1000,1.7600,0.483911
1000,1.7650,0.480551
1000,1.7700,0.477184
1000,1.7750,0.473808
1000,1.7800,0.470425
1000,1.7850,0.467035
1000,1.7900,0.463637
1000,1.7950,0.460231
1000,1.8000,0.456819
1000,1.8050,0.453398
1000,1.8100,0.449971
1000,1.8150,0.446537
1000,1.8200,0.443095
1000,1.8250,0.439646
1000,1.8300,0.436191
1000,1.8350,0.432728
1000,1.8400,0.429259
1000,1.8450,0.425783
1000,1.8500,0.422300
1000,1.8550,0.418811
1000,1.8600,0.415314
1000,1.8650,0.411812
1000,1.8700,0.408303
1000,1.8750,0.404788
1000,1.8800,0.401266
1000,1.8850,0.397738
1000,1.8900,0.394204
1000,1.8950,0.390664
1000,1.9000,0.387118
1000,1.9050,0.383566
1000,1.9100,0.380008
1000,1.9150,0.376444
1000,1.9200,0.372875
1000,1.9250,0.369300
1000,1.9300,0.365719
1000,1.9350,0.362133
1000,1.9400,0.358541
1000,1.9450,0.354944
1000,1.9500,0.351342
1000,1.9550,0.347734
1000,1.9600,0.344121
1000,1.9650,0.340504
1000,1.9700,0.336881
1000,1.9750,0.333253
